Scheme Name,Category,Fund manager,ISIN,Manager strike rate,AUM in Cr,Expense ratio,Current Status,Fund score New,Percentile Rank,Strength,Weakness,Who should invest,Who should avoid investing
Invesco India Contra Fund(G)-Direct Plan,Contra,Taher Badshah,INF205K01LE4,58%,9902,0.62%,Ranked,96,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 57%.
","Those who are willing to take bets against the momentum of the stock market as the fund manager may invest in sectors which are witnessing a slump or stocks which are out of favour
Investors who are ready to take such contra risk
","Investors having a conservative approach towards investments
"
SBI Contra Fund(G)-Direct Plan,Contra,Dinesh Balachandran,INF200K01RA0,75%,7205,1.03%,Ranked,36,33%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 75%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are willing to take bets against the momentum of the stock market as the fund manager may invest in sectors which are witnessing a slump or stocks which are out of favour
Investors who are ready to take such contra risk
","Investors having a conservative approach towards investments
"
Kotak India EQ Contra Fund(G)-Direct Plan,Contra,Shibani Kurian,INF174K01KZ9,100%,1474,0.83%,Ranked,55,67%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Very good - Fund Manager strike rate is 100%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are willing to take bets against the momentum of the stock market as the fund manager may invest in sectors which are witnessing a slump or stocks which are out of favour
Investors who are ready to take such contra risk
","Investors having a conservative approach towards investments
"
Templeton India Equity Income Fund(G)-Direct Plan,Dividend Yield,Anand Radhakrishnan,INF090I01IT8,58%,1359,1.57%,Ranked,96,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 57%.
","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks
","Those who are not focused on dividends but long term aggressive investments
"
ICICI Pru Dividend Yield Equity Fund(G)-Direct Plan,Dividend Yield,Mittul Kalawadia,INF109KA1UA0,40%,1225,0.66%,Ranked,46,88%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 40%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks
","Those who are not focused on dividends but long term aggressive investments
"
UTI Dividend Yield Fund(G)-Direct Plan,Dividend Yield,Amit Premchandani,INF789F01SW4,33%,2920,1.47%,Ranked,38,75%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 33%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks
","Those who are not focused on dividends but long term aggressive investments
"
Aditya Birla SL Dividend Yield Fund(G)-Direct Plan,Dividend Yield,Dhaval Gala,INF209K01WA1,43%,884,1.70%,Ranked,34,63%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 42%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those looking for relatively low volatile funds
Those who are looking for high dividend yielding funds as the fund manager invests in high dividend yielding stocks
","Those who are not focused on dividends but long term aggressive investments
"
SBI Focused Equity Fund(G)-Direct Plan,Focused Fund,R. Srinivasan,INF200K01RJ1,73%,28453,0.68%,Ranked,93,100%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Satisfactory - Fund Manager strike rate is 73%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
Franklin India Focused Equity Fund(G)-Direct Plan,Focused Fund,Ajay Argal,INF090I01IW2,60%,8656,1.04%,Ranked,89,92%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Satisfactory - Fund Manager strike rate is 60%.
Treynor Ratio - Excess returns by portfolio beta is high.
Sharpe Ratio - Excess returns per unit of risk is high.
Jensen's Alpha - Ability to beat the benchmark is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","
","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
Motilal Oswal Focused Fund(G)-Direct Plan,Focused Fund,Siddharth Bothra,INF247L01189,14%,1818,0.98%,Ranked,67,73%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
","Unsatisfactory - Fund Manger strike rate is 14%.
Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
Nippon India Focused Equity Fund(G)-Direct Plan,Focused Fund,Vinay Sharma,INF204K01F95,88%,6521,1.25%,Ranked,84,88%,"Moderate risk - Fund has positive skewness and positive kurtosis, and may generate higher than average returns.
Very good - Fund Manager strike rate is 87%.
","Treynor Ratio - Excess returns by portfolio beta is low.
Sharpe Ratio - Excess returns per unit of risk is low.
Jensen's Alpha - Ability to beat the benchmark is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility
","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
IIFL Focused Equity Fund(G)-Direct Plan,Focused Fund,Mayur Patel,INF579M01902,80%,3501,0.90%,Ranked,90,96%,"Satisfactory - Fund Manager strike rate is 80%.
Treynor Ratio - Excess returns by portfolio beta is high.
Jensen's Alpha - Ability to beat the benchmark is high.","High risk - Fund has negative skewness and negative kurtosis, and may generate lower than average returns with high risk.
Sharpe Ratio - Excess returns per unit of risk is low.
Sortino Ratio - Excess returns per unit of downside risk is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
Axis Focused 25 Fund(G)-Direct Plan,Focused Fund,Jinesh Gopani,INF846K01CQ8,37%,17894,0.68%,Ranked,77,85%,"Fund has positive skewness and negative kurtosis, and may generate high returns with low risk.
Sharpe Ratio - Excess returns per unit of risk is high.
Sortino Ratio - Excess returns per unit of downside risk is high.","Unsatisfactory - Fund Manger strike rate is 36%.
Treynor Ratio - Excess returns by portfolio beta is low.
Jensen's Alpha - Ability to beat the benchmark is low.","Those who are looking for concentrated portfolios with less diversified stocks
Investors with experience of investing in the equity market
Those who understand market risk and volatility","Those who are looking for a diversified portfolio with low to moderate risk and less volatility
"
